X-axis; Y-axis; Class
2.0903622010733187; 2.5624899544171473; above
-1.885907518189583; -1.997407599218205; below
-2.9282206832334725; 0.08238727568546045; above
2.3129230208512994; 0.49425588500276785; below
2.895800158650832; 2.4354575617849648; above
-1.6970685457243755; -2.5737245528039745; below
-2.3589641484790733; -1.0384290490456443; above
4.198374704780727; 1.870410371844826; below
-2.932220395566431; -1.7663127885080874; above
-1.6132858469887672; -2.1482643011711846; below
1.74903383418092; 3.169329803364248; above
-1.7483639749523658; -2.655119754605124; below
2.791891489626311; 3.8567073257360334; above
-2.051791281554; -3.152970297830623; below
2.980067730688754; 2.5056818879726044; above
-1.2523403767979806; -2.169938529963427; below
0.7024883052821786; 1.2321833124091244; above
-1.850277498278518; -2.9143166251044086; below
1.421849654822276; 4.2624358053443085; above
3.9566369960476657; 0.9399152336738472; below
1.0289434595917375; 3.0631528533329035; above
-1.318968052956953; -2.9193874547947387; below
-3.430233207020642; -0.17854123414564604; above
3.4273940656343256; 2.2075996046923994; below
-2.329671887837512; -1.6528874284882533; above
-1.2796641834557543; -2.8660838259088672; below
-3.1776204293825945; -2.152379485021293; above
2.2877010009332537; 0.6746556412898985; below
2.308084760767855; 1.8656395880760572; above
0.9688808084552378; -0.890425088565423; below
1.4862310393041946; 3.924031353866786; above
2.38996862631982; 0.8845109527016233; below
-2.8691326615536976; -1.859606213523792; above
-2.573417692812462; -2.4757297535702567; below
-1.7990924344019952; -0.5346437830504478; above
-1.8290081322649672; -2.6326995198205934; below
-2.761836107802159; -1.9626013286835857; above
2.518252755714472; 0.3074163957621594; below
-3.0369304715780827; -2.0695253560617997; above
-2.8120530938773523; -2.337662146597768; below
0.8153185242790941; 3.170826787378519; above
3.159552715319335; 1.474764788439432; below
0.5260971765142766; 2.7704146561442973; above
-1.7723973379247977; -2.421876966122467; below
2.6797672802322037; 2.4577085600173145; above
-0.9305598792787129; -2.4791756521047046; below
-3.122831120334424; -1.6957526674047259; above
-0.9468362478450403; -1.9997669389804127; below
2.603317900880889; 2.1948361236948735; above
-0.908786077836055; -2.4180753730215514; below
-3.7794052811213716; -1.4666398076200649; above
3.9076865268495222; 2.6508428612670096; below
2.2242276486620396; 2.1603017614618776; above
-0.344545759718903; -1.6050182890390443; below
2.1657249122886943; 3.104191518470948; above
-2.8663507452843033; -3.432253709597674; below
2.30652116970147; 2.719003757588512; above
-1.8595071496541233; -1.6635517905030242; below
2.219394794604893; 2.7357666238986917; above
-1.636762375426455; -2.0828289126568724; below
-2.333462785325851; -1.2959995059079077; above
2.039834288541353; 0.3490390664840084; below
1.6268135377006259; 3.5839867632900324; above
